microsite id,site,latitude,longitude,location,region,country,logger type,zone,tidal height (m),substrate,wave exposure,start date,end date,,,,,
BMRMNZNLEB305,NZNLEB,-35.11476667,173.9604333,Elliots Beach,Northland,New Zealand,8cm epoxy robomussel,High,N/A,Rocky,exposed,2/1/2006,12/5/2006,,,,,
BMRMNZNLHH199,NZNLHH,-35.29461667,173.1570833,Herekino Harbour,Northland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/28/2006,12/5/2006,,,,,
BMRMNZNLMB191,NZNLMB,-36.75161667,173.5695333,Maunganui Bluff,Northland,New Zealand,8cm epoxy robomussel,Low,N/A,Rocky,exposed,1/26/2006,12/5/2006,,,,,
BMRMNZNLMB192,NZNLMB,-36.75161667,173.5695333,Maunganui Bluff,Northland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/26/2006,12/5/2006,,,,,
BMRMNZNLMB194,NZNLMB,-36.75161667,173.5695333,Maunganui Bluff,Northland,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,1/26/2006,12/5/2006,,,,,
BMRMNZWCWB1,NZWCWB,-42.019,171.22712,Woodpecker Bay,West Coast,New Zealand,8cm epoxy robomussel,High,N/A,Rocky,exposed,10/26/2007,8/17/2008,,,,,
BMRMNZWCWB3,NZWCWB,-42.019,171.22712,Woodpecker Bay,West Coast,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,3/28/2006,2/20/2007,,,,,
BMRMNZWCWB4,NZWCWB,-42.019,171.22712,Woodpecker Bay,West Coast,New Zealand,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,3/28/2006,8/17/2008,,,,,
BMRMNZWCWB5,NZWCWB,-42.019,171.22712,Woodpecker Bay,West Coast,New Zealand,8cm epoxy robomussel,Low,N/A,Rocky,exposed,3/28/2006,8/17/2008,,,,,
BMRMNZWCWB6,NZWCWB,-42.019,171.22712,Woodpecker Bay,West Coast,New Zealand,8cm epoxy robomussel,Low,N/A,Rocky,exposed,10/28/2007,8/17/2008,,,,,
BMRMZAECCA10,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/2/2014,11/4/2014,,,,,
BMRMZAECCA100,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,8/9/2014,,,,,
BMRMZAECCA110,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,11/4/2014,,,,,
BMRMZAECCA120,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,11/4/2014,,,,,
BMRMZAECCA130,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,2/7/2015,,,,,
BMRMZAECCA140,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,2/7/2015,,,,,
BMRMZAECCA150,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,7/11/2014,,,,,
BMRMZAECCA20,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/26/2014,10/8/2014,,,,,
BMRMZAECCA30,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/8/2014,11/4/2014,,,,,
BMRMZAECCA40,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,8/9/2014,,,,,
BMRMZAECCA50,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,10/8/2014,,,,,
BMRMZAECCA60,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,11/4/2014,,,,,
BMRMZAECCA70,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/8/2014,11/4/2014,,,,,
BMRMZAECCA80,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,2/7/2015,,,,,
BMRMZAECCA90,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/13/2014,2/7/2015,,,,,
BMRMZAECJO10,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,11/6/2014,,,,,
BMRMZAECJO100,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/9/2014,11/6/2014,,,,,
BMRMZAECJO110,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/24/2014,12/6/2014,,,,,
BMRMZAECJO120,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,12/6/2014,1/20/2015,,,,,
BMRMZAECJO140,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,12/6/2014,,,,,
